image_filename,actual_label,selection_method
April_1999_211_tcj211003_1.jpg,only_text_block,ambiguous
April_1999_211_tcj211003_2.jpg,only_text_block,random
April_1999_211_tcj211019_11.jpg,only_text_block,ambiguous
August-September_2004_262_1003063178-i00095_6.jpg,only_text_block,random
August_1988_124_1003063058-i0021_12.jpg,only_text_block,ambiguous
August_1988_124_1003063058-i0021_9.jpg,only_text_block,ambiguous
August_2000_226_1003063143-i00006_3.jpg,only_text_block,ambiguous
December_1990_139_1003063071-i00120_7.jpg,only_text_block,ambiguous
December_1991_147_1003063076-i00054_11.jpg,only_text_block,ambiguous
December_1991_147_1003063076-i00054_15.jpg,only_text_block,ambiguous
December_1997_200_1003063118-i00084_14.jpg,only_text_block,ambiguous
December_1997_200_1003063118-i00264_7.jpg,only_text_block,random
December_1999_218_1003063135-i00070_10.jpg,only_text_block,ambiguous
December_2002_249_1003063166-i00046_1.jpg,only_text_block,ambiguous
December_2003_257_1003063173-i00116_11.jpg,only_text_block,random
December_2003_257_1003063173-i00116_17.jpg,only_text_block,ambiguous
February_1989_127_1003063061-i00044_1.jpg,only_text_block,ambiguous
February_1991_140_1003063072-i00091_6.jpg,only_text_block,ambiguous
February_1994_166_1003063091-i00020_1.jpg,only_text_block,ambiguous
February_2006_274_1003063189-i00008_0.jpg,only_text_block,ambiguous
February_2007_281_1002856641-i00103_8.jpg,only_text_block,ambiguous
February_2007_281_1002856641-i00103_9.jpg,only_text_block,ambiguous
January-February_2005_265_1003063181-i00028_11.jpg,only_text_block,ambiguous
January-February_2005_265_1003063181-i00050_9.jpg,only_text_block,ambiguous
January-February_2005_265_1003063181-i00098_2.jpg,only_text_block,ambiguous
January-February_2005_265_1003063181-i00098_3.jpg,only_text_block,ambiguous
January-February_2005_265_1003063181-i00098_4.jpg,only_text_block,ambiguous
January-February_2005_265_1003063181-i00098_6.jpg,only_text_block,random
January-February_2005_265_1003063181-i00098_7.jpg,only_text_block,ambiguous
January-February_2005_265_1003063181-i00141_4.jpg,only_text_block,ambiguous
January-February_2005_265_1003063181-i00141_6.jpg,only_text_block,ambiguous
January_1977_32_1003062992-i00016_8.jpg,only_text_block,ambiguous
January_1977_32_1003062992-i00016_9.jpg,only_text_block,ambiguous
January_1979_44_1003062999-i00012_1.jpg,only_text_block,ambiguous
January_1979_44_1003062999-i00012_3.jpg,only_text_block,ambiguous
January_1979_44_1003062999-i00012_4.jpg,only_text_block,ambiguous
January_1979_44_1003062999-i00012_5.jpg,only_text_block,ambiguous
January_1979_44_1003062999-i00046_13.jpg,only_text_block,ambiguous
January_1988_119_1003063053-i00117_7.jpg,only_text_block,ambiguous
January_2000_219_1003063136-i00038_23.jpg,only_text_block,ambiguous
January_2000_219_1003063136-i00038_27.jpg,only_text_block,ambiguous
January_2007_280_001-200-200_22.jpg,only_text_block,ambiguous
January_2007_280_001-200-200_3.jpg,only_text_block,ambiguous
January_2007_280_001-200-200_4.jpg,only_text_block,ambiguous
January_2007_280_001-200-200_5.jpg,only_text_block,ambiguous
January_2007_280_001-200-200_6.jpg,only_text_block,ambiguous
January_2008_287_1003063201-i00024_1.jpg,only_text_block,ambiguous
January_2008_287_1003063201-i00024_5.jpg,only_text_block,ambiguous
January_2008_287_1003063201-i00024_6.jpg,only_text_block,ambiguous
January_2008_287_1003063201-i00024_7.jpg,only_text_block,ambiguous
January_2008_287_1003063201-i00172_18.jpg,only_text_block,ambiguous
January_2008_287_1003063201-i00172_19.jpg,only_text_block,ambiguous
January_2008_287_1003063201-i00172_20.jpg,only_text_block,ambiguous
January_2008_287_1003063201-i00172_21.jpg,only_text_block,ambiguous
January_2008_287_1003063201-i00172_23.jpg,only_text_block,ambiguous
January_2008_287_1003063201-i00186_10.jpg,only_text_block,ambiguous
January_2008_287_1003063201-i00186_11.jpg,only_text_block,ambiguous
January_2008_287_1003063201-i00186_13.jpg,only_text_block,ambiguous
January_2008_287_1003063201-i00186_15.jpg,only_text_block,ambiguous
January_2008_287_1003063201-i00186_16.jpg,only_text_block,ambiguous
January_2008_287_1003063201-i00186_17.jpg,only_text_block,ambiguous
July_1979_47_1002856634-i00035_8.jpg,only_text_block,ambiguous
July_1979_47_1002856634-i00047_4.jpg,only_text_block,ambiguous
July_1979_47_1002856634-i00047_5.jpg,only_text_block,ambiguous
July_1979_47_1002856634-i00047_7.jpg,only_text_block,ambiguous
July_1982_73_1003063012-i00032_14.jpg,only_text_block,ambiguous
July_1982_73_1003063012-i00032_8.jpg,only_text_block,ambiguous
July_1982_73_1003063012-i00032_9.jpg,only_text_block,ambiguous
July_1987_116_1003063050-i00008_6.jpg,only_text_block,ambiguous
July_1987_116_1003063050-i00008_7.jpg,only_text_block,ambiguous
July_1991_143_1003063074-i00089_8.jpg,only_text_block,ambiguous
July_1992_151_1003063079-i00102_14.jpg,only_text_block,ambiguous
July_1992_151_1003063079-i00102_2.jpg,only_text_block,ambiguous
July_1992_151_1003063079-i00102_6.jpg,only_text_block,random
July_1992_151_1003063079-i00102_7.jpg,only_text_block,ambiguous
July_1995_178_1003063099-i00013_1.jpg,only_text_block,ambiguous
July_1995_178_1003063099-i00013_10.jpg,only_text_block,ambiguous
July_1995_178_1003063099-i00013_11.jpg,only_text_block,ambiguous
July_1995_178_1003063099-i00013_12.jpg,only_text_block,ambiguous
July_1995_178_1003063099-i00013_2.jpg,only_text_block,ambiguous
July_1995_178_1003063099-i00013_4.jpg,only_text_block,ambiguous
July_1995_178_1003063099-i00013_6.jpg,only_text_block,ambiguous
July_1995_178_1003063099-i00117_2.jpg,only_text_block,ambiguous
July_1995_178_1003063099-i00117_3.jpg,only_text_block,ambiguous
July_1995_178_1003063099-i00117_5.jpg,only_text_block,ambiguous
July_1996_188_188090_4.jpg,only_text_block,random
July_1997_197_1003063116-i00018_9.jpg,only_text_block,random
July_2005_269_1002862992-i00044_14.jpg,only_text_block,ambiguous
July_2007_284_1003063198-i00111_15.jpg,only_text_block,ambiguous
July_2008_291_1002798205-i00199_9.jpg,only_text_block,random
June-July_2005_268_1003063184-i00078_9.jpg,only_text_block,random
June_1980_56_1003063006-i00075_3.jpg,only_text_block,ambiguous
June_1993_160_1003063087-i00088_19.jpg,only_text_block,ambiguous
March_1992_149_1003063077-i00074_1.jpg,only_text_block,ambiguous
March_1992_149_1003063077-i00074_6.jpg,only_text_block,ambiguous
March_1993_157_1003063084-i00043_7.jpg,only_text_block,ambiguous
March_1998_202_1002798202-i00011_5.jpg,only_text_block,ambiguous
March_2000_221_1003063138-i00074_4.jpg,only_text_block,ambiguous
March_2000_221_1003063138-i00074_6.jpg,only_text_block,ambiguous
May_1999_212_1003063129-i00045_9.jpg,only_text_block,random
May_2003_252_1003063169-i00045_8.jpg,only_text_block,ambiguous
May_2008_290_1002798206-i00090_10.jpg,only_text_block,ambiguous
November-December_2004_264_1003063180-i00136_8.jpg,only_text_block,ambiguous
November-December_2004_264_1003063180-i00136_9.jpg,only_text_block,ambiguous
November_1980_60_1002857616-i0016_12.jpg,only_text_block,ambiguous
November_1982_77_1003063015-i00088_9.jpg,only_text_block,ambiguous
November_1983_86_1003063021-i00026_10.jpg,only_text_block,ambiguous
November_1994_172_1003063094-i00046_1.jpg,only_text_block,ambiguous
November_1994_172_1003063094-i00046_15.jpg,only_text_block,ambiguous
November_1994_172_1003063094-i00046_2.jpg,only_text_block,ambiguous
November_1994_172_1003063094-i00046_5.jpg,only_text_block,ambiguous
November_1994_172_1003063094-i00046_6.jpg,only_text_block,ambiguous
November_1998_208_1003063125-i00010_18.jpg,only_text_block,ambiguous
November_1998_208_1003063125-i00010_7.jpg,only_text_block,ambiguous
November_1999_217_1003063134-i00012_8.jpg,only_text_block,ambiguous
November_1999_217_1003063134-i00040_6.jpg,only_text_block,ambiguous
November_1999_217_1003063134-i00114_18.jpg,only_text_block,ambiguous
November_1999_217_1003063134-i00114_19.jpg,only_text_block,ambiguous
November_1999_217_1003063134-i00114_20.jpg,only_text_block,ambiguous
November_1999_217_1003063134-i00114_21.jpg,only_text_block,ambiguous
November_1999_217_1003063134-i00114_22.jpg,only_text_block,ambiguous
November_1999_217_1003063134-i00114_24.jpg,only_text_block,ambiguous
November_1999_217_1003063134-i00114_25.jpg,only_text_block,ambiguous
November_1999_217_1003063134-i00114_26.jpg,only_text_block,ambiguous
November_1999_217_1003063134-i00114_8.jpg,only_text_block,ambiguous
November_2005_272_1003063187-i00027_23.jpg,only_text_block,ambiguous
November_2005_272_1003063187-i00027_24.jpg,only_text_block,ambiguous
November_2005_272_1003063187-i00027_8.jpg,only_text_block,ambiguous
November_2005_272_1003063187-i00027_9.jpg,only_text_block,ambiguous
November_2005_272_1003063187-i00060_8.jpg,only_text_block,ambiguous
November_2005_272_1003063187-i00060_9.jpg,only_text_block,ambiguous
November_2005_272_1003063187-i00177_1.jpg,only_text_block,ambiguous
November_2005_272_1003063187-i00177_10.jpg,only_text_block,ambiguous
November_2005_272_1003063187-i00177_11.jpg,only_text_block,ambiguous
November_2005_272_1003063187-i00177_12.jpg,only_text_block,ambiguous
November_2006_279_1003063194-i00014_9.jpg,only_text_block,ambiguous
November_2006_279_1003063194-i00027_1.jpg,only_text_block,ambiguous
November_2006_279_1003063194-i00027_4.jpg,only_text_block,ambiguous
November_2006_279_1003063194-i00027_7.jpg,only_text_block,ambiguous
November_2007_286_1003063200-i00060_1.jpg,only_text_block,ambiguous
November_2007_286_1003063200-i00060_4.jpg,only_text_block,ambiguous
November_2007_286_1003063200-i00107_5.jpg,only_text_block,ambiguous
October_1993_162_1003063088-i00005_6.jpg,only_text_block,random
October_1993_162_1003063088-i00063_17.jpg,only_text_block,ambiguous
October_1997_199_1003063117-i00007_15.jpg,only_text_block,ambiguous
October_1997_199_1003063117-i00007_17.jpg,only_text_block,ambiguous
October_1999_216_1003063133-i00095_1.jpg,only_text_block,ambiguous
October_1999_216_1003063133-i00095_3.jpg,only_text_block,ambiguous
October_2005_271_1003063186-i00086_14.jpg,only_text_block,random
October_2005_271_1003063186-i00142_9.jpg,only_text_block,ambiguous
October_2006_278_1003063193-i00021_13.jpg,only_text_block,ambiguous
September_1987_117_1003063051-i00110_17.jpg,only_text_block,ambiguous
September_1991_144_1002942898-i00088_17.jpg,only_text_block,ambiguous
September_1994_171_1002942944-i00108_12.jpg,only_text_block,ambiguous
September_1994_171_1002942944-i00108_5.jpg,only_text_block,ambiguous
September_1994_171_1002942944-i00108_6.jpg,only_text_block,ambiguous
Spring_1981_63_1003063009-i00160_6.jpg,only_text_block,ambiguous
April_1996_186_1003063106-i00018_12.jpg,not_only_text_block,outlier
April_1998_203_1003063120-i00100_10.jpg,not_only_text_block,outlier
April_1999_211_tcj211019_12.jpg,not_only_text_block,outlier
April_1999_211_tcj221063_10.jpg,not_only_text_block,outlier
April_2000_222_1003063139-i00001_5.jpg,not_only_text_block,outlier
April_2000_222_1003063139-i00001_7.jpg,not_only_text_block,outlier
August_1981_66_1003064917-i0022_7.jpg,not_only_text_block,ambiguous
December_1990_139_1003063071-i00139_2.jpg,not_only_text_block,outlier
December_2008_294_1002798204-i00113_13.jpg,not_only_text_block,random
February_1991_140_1003063072-i00073_4.jpg,not_only_text_block,ambiguous
February_1991_140_1003063072-i00073_6.jpg,not_only_text_block,random
